"Model","Env","VI","Vg","Vrc","Ve","Vp","h2_plot","h2_cullis","n_obs","n_geno","mean_rep","converged","T2","T3","T4","T5","T6","T7","T8","T1","T9","T10","T11","T14","T15","T16","T17","T18","T19","T20","T12","T13"
"Model_1_Single","HELF24","NDVI",0.000489,0.002712,0.000641,0.003842,0.1274,NA,312,259,1.2,TRUE,0.1495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","HELF24","NDVI",0.000493,0.001991,0.000443,0.002928,0.1684,NA,312,259,1.2,TRUE,NA,0.1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","HELF24","NDVI",0.001452,0.003945,0.000919,0.006316,0.2299,NA,312,259,1.2,TRUE,NA,NA,0.2645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","HELF24","NDVI",0.000146,0.000489,9.4e-05,0.000729,0.2002,NA,312,259,1.2,TRUE,NA,NA,NA,0.2317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","HELF24","NDVI",0.000183,0.000208,0.000125,0.000516,0.3549,NA,312,259,1.2,TRUE,NA,NA,NA,NA,0.3985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","HELF24","NDVI",0.001145,0,0.000487,0.001632,0.7015,NA,312,259,1.2,TRUE,NA,NA,NA,NA,NA,0.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","HELF24","NDVI",0.001939,0.000648,0.000614,0.003201,0.6058,NA,312,259,1.2,TRUE,NA,NA,NA,NA,NA,NA,0.6492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","HELF24","PSRI",0.000205,0.000955,0.000285,0.001446,0.1419,NA,312,259,1.2,TRUE,0.1661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","HELF24","PSRI",0.000373,0.000761,0.00022,0.001354,0.2756,NA,312,259,1.2,TRUE,NA,0.3143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","HELF24","PSRI",0.000743,0.001129,0.000304,0.002176,0.3413,NA,312,259,1.2,TRUE,NA,NA,0.3843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","HELF24","PSRI",0.000142,0.000191,7e-05,0.000403,0.3519,NA,312,259,1.2,TRUE,NA,NA,NA,0.3955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","HELF24","PSRI",0.00024,0.00014,6.3e-05,0.000443,0.5422,NA,312,259,1.2,TRUE,NA,NA,NA,NA,0.5879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","HELF24","PSRI",0.000725,0.000203,0.000172,0.0011,0.6596,NA,312,259,1.2,TRUE,NA,NA,NA,NA,NA,0.7001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","HELF24","PSRI",0.002733,0.000414,0.000624,0.00377,0.7248,NA,312,259,1.2,TRUE,NA,NA,NA,NA,NA,NA,0.7603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","KET21","NDVI",0.000489,0.003709,5.5e-05,0.004253,0.1149,NA,473,428,1.11,TRUE,NA,NA,NA,NA,NA,NA,NA,0.1254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","KET21","NDVI",0.000418,0.002623,0,0.00304,0.1374,NA,467,422,1.11,TRUE,0.1498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","KET21","NDVI",0.000639,0.002691,0,0.00333,0.1918,NA,479,433,1.11,TRUE,NA,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","KET21","NDVI",0.005896,0.002856,0,0.008752,0.6737,NA,470,425,1.11,TRUE,NA,NA,0.6954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","KET21","NDVI",0.003312,0.002006,0.000264,0.005582,0.5934,NA,478,433,1.1,TRUE,NA,NA,NA,0.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","KET21","NDVI",0.000897,0.001438,7.9e-05,0.002414,0.3718,NA,469,424,1.11,TRUE,NA,NA,NA,NA,0.3956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","KET21","PSRI",0.000308,0.001268,4.8e-05,0.001623,0.1897,NA,472,427,1.11,TRUE,NA,NA,NA,NA,NA,NA,NA,0.2055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","KET21","PSRI",0.000415,0.001291,0,0.001705,0.2432,NA,464,419,1.11,TRUE,0.2625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","KET21","PSRI",0.000342,0.000965,4.8e-05,0.001355,0.2522,NA,478,432,1.11,TRUE,NA,0.2717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","KET21","PSRI",0.005684,0.002197,0,0.007881,0.7212,NA,466,421,1.11,TRUE,NA,NA,0.7411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","KET21","PSRI",0.006137,0.002646,0.000686,0.00947,0.6481,NA,477,432,1.1,FALSE,NA,NA,NA,0.6703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","KET21","PSRI",0.000552,0.001652,0.000162,0.002366,0.2334,NA,463,418,1.11,TRUE,NA,NA,NA,NA,0.2522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","MCG23","NDVI",0.001466,0.010887,0.001579,0.013933,0.1052,NA,504,445,1.13,TRUE,NA,NA,NA,NA,NA,NA,NA,0.1176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","MCG23","NDVI",0.002107,0.017077,0.001221,0.020405,0.1033,NA,504,445,1.13,TRUE,0.1154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","MCG23","NDVI",0.002743,0.016391,0.001126,0.02026,0.1354,NA,504,445,1.13,TRUE,NA,0.1506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","MCG23","NDVI",0.001816,0.015003,0.001085,0.017905,0.1014,NA,504,445,1.13,TRUE,NA,NA,0.1133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","MCG23","NDVI",0.001814,0.006361,0.000275,0.00845,0.2147,NA,504,445,1.13,TRUE,NA,NA,NA,0.2364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","MCG23","NDVI",0.000493,0.001121,0.000165,0.001779,0.277,NA,504,445,1.13,TRUE,NA,NA,NA,NA,0.3026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Model_1_Single","MCG23","PSRI",4e-04,0.002455,0.000465,0.003321,0.1206,NA,504,445,1.13,TRUE,NA,NA,NA,NA,NA,NA,NA,0.1344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
