Index	Sample Well	Sample ID	VCF Name	IDnumVCF Name	Sample Plate	Call Rate	Genotype for 11_10552	GC Score for 11_10552	Array Info.Sentrix ID	Array Info.Sentrix Position
152	B08	BAROREI154	BAROREI154	id152.BAROREI154	OREI2024UWMad-B3K-02	0.2004578	NC	-0.0831973	208307060017	R05C04
177	C11	BAROREI179	BAROREI179	id177.BAROREI179	OREI2024UWMad-B3K-02	0.1978417	NC	-0.1117067	208307060017	R09C03
536	D08	BAROREI540	BAROREI540	id536.BAROREI540	OREI2024UWMad-B3K-06	0.1860693	NC	-0.03725224	207983400021	R11C04
588	H02	BAROREI592	BAROREI592	id588.BAROREI592	OREI2024UWMad-B3K-07	0.2030739	NC	-0.1164284	208307060001	R22C02
598	B04	BAROREI602	BAROREI602	id598.BAROREI602	OREI2024UWMad-B3K-07	0.1844343	NC	-0.3136933	208307060001	R04C04
694	B04	BAROREI698	BAROREI698	id694.BAROREI698	OREI2024UMN-B3K-08	0.1850883	NC	-0.2258143	208307060004	R04C04
720	D07	BAROREI724	BAROREI724	id720.BAROREI724	OREI2024UMN-B3K-08	0.1841073	NC	-0.01991905	208307060004	R11C03
721	E07	BAROREI725	BAROREI725	id721.BAROREI725	OREI2024UMN-B3K-08	0.1733159	NC	0.02586533	208307060004	R14C03
722	F07	BAROREI726	BAROREI726	id722.BAROREI726	OREI2024UMN-B3K-08	0.1877044	NC	0.05482009	208307060004	R17C03
723	G07	BAROREI727	BAROREI727	id723.BAROREI727	OREI2024UMN-B3K-08	0.1834532	NC	0.07136355	208307060004	R20C03
733	A09	BAROREI737	BAROREI737	id733.BAROREI737	OREI2024UMN-B3K-08	0.1703728	NC	-0.1188616	208307060004	R03C01
737	E09	BAROREI741	BAROREI741	id737.BAROREI741	OREI2024UMN-B3K-08	0.1906475	NC	-0.0206126	208307060004	R15C01
923	G08	BAROREI927	BAROREI927	id923.BAROREI927	OREI2024UMN-B3K-10	0.2043819	NC	-0.08560054	207810740021	R20C04
950	B12	BAROREI954	BAROREI954	id950.BAROREI954	OREI2024UMN-B3K-10	0.1978417	NC	-0.1345087	207810740021	R06C04
