Env;m;MeanCorr;SDCorr
HELF24;Model_0114;0.38;0.06
HELF24;Model_0269;0.38;0.06
HELF24;Model_0107;0.36;0.07
HELF24;Model_0262;0.36;0.07
HELF24;Model_0160;0.34;0.09
HELF24;Model_0315;0.34;0.09
HELF24;Model_0127;0.34;0.09
HELF24;Model_0282;0.34;0.09
HELF24;Model_0155;0.34;0.09
HELF24;Model_0310;0.34;0.09
HELF24;Model_0073;0.34;0.09
HELF24;Model_0228;0.34;0.09
HELF24;Model_0134;0.34;0.08
HELF24;Model_0289;0.34;0.08
HELF24;Model_0101;0.34;0.09
HELF24;Model_0256;0.34;0.09
HELF24;Model_0162;0.34;0.08
HELF24;Model_0317;0.34;0.08
HELF24;Model_0080;0.34;0.08
HELF24;Model_0235;0.34;0.08
HELF24;Model_0141;0.34;0.08
HELF24;Model_0296;0.34;0.08
HELF24;Model_0169;0.33;0.08
HELF24;Model_0324;0.33;0.08
HELF24;Model_0087;0.33;0.08
HELF24;Model_0242;0.33;0.08
HELF24;Model_0163;0.33;0.08
HELF24;Model_0318;0.33;0.08
HELF24;Model_0081;0.33;0.08
HELF24;Model_0236;0.33;0.08
HELF24;Model_0142;0.33;0.08
HELF24;Model_0297;0.33;0.08
HELF24;Model_0135;0.33;0.08
HELF24;Model_0290;0.33;0.08
HELF24;Model_0034;0.33;0.08
HELF24;Model_0189;0.33;0.08
HELF24;Model_0035;0.33;0.08
HELF24;Model_0190;0.33;0.08
HELF24;Model_0106;0.33;0.08
HELF24;Model_0261;0.33;0.08
HELF24;Model_0120;0.33;0.08
HELF24;Model_0275;0.33;0.08
HELF24;Model_0148;0.33;0.08
HELF24;Model_0303;0.33;0.08
HELF24;Model_0066;0.33;0.08
HELF24;Model_0221;0.33;0.08
HELF24;Model_0113;0.33;0.08
HELF24;Model_0268;0.33;0.08
HELF24;Model_0050;0.33;0.08
HELF24;Model_0205;0.33;0.08
HELF24;Model_0121;0.33;0.08
HELF24;Model_0276;0.33;0.08
HELF24;Model_0149;0.33;0.08
HELF24;Model_0304;0.33;0.08
HELF24;Model_0067;0.33;0.08
HELF24;Model_0222;0.33;0.08
HELF24;Model_0128;0.33;0.09
HELF24;Model_0283;0.33;0.09
HELF24;Model_0049;0.33;0.08
HELF24;Model_0204;0.33;0.08
HELF24;Model_0233;0.33;0.08
HELF24;Model_0060;0.33;0.08
HELF24;Model_0215;0.33;0.08
HELF24;Model_0088;0.33;0.08
HELF24;Model_0243;0.33;0.08
HELF24;Model_0061;0.33;0.08
HELF24;Model_0216;0.33;0.08
HELF24;Model_0053;0.33;0.08
HELF24;Model_0208;0.33;0.08
HELF24;Model_0064;0.33;0.08
HELF24;Model_0219;0.33;0.08
