Index	Sample Well	Sample ID	Sample Plate	Call Rate	Genotype for 11_10646	GC Score for 11_10646	Array Info.Sentrix ID	Array Info.Sentrix Position
294	F01	BAROREI1254	OREI2024UMN-B3K-14	0	NC	0	208307680077	R01C02
296	H01	BAROREI1256	OREI2024UMN-B3K-14	0.4319817	NC	-0.2952279	208307680077	R01C01
295	G01	BAROREI1255	OREI2024UMN-B3K-14	0.4689339	NC	-0.2748342	208307680077	R02C01
293	E01	BAROREI1253	OREI2024UMN-B3K-14	0.4849575	NC	-0.2256325	208307680077	R02C02
302	F02	BAROREI1262	OREI2024UMN-B3K-14	0.5418574	NC	-0.280639	208307680077	R03C02
304	H02	BAROREI1264	OREI2024UMN-B3K-14	0.587312	NC	-0.02336224	208307680077	R03C01
27	C04	25BS-NAM-089	OREI2024UMN-B3K-11	0.6621975	NC	-0.09894895	208182490057	R05C01
205	E02	BAROREI1165	OREI2024UMN-B3K-13	0.6703728	NC	-0.1170274	208307680044	R01C02
303	G02	BAROREI1263	OREI2024UMN-B3K-14	0.6831262	BB	0.2013342	208307680077	R04C01
263	G09	25BS-NAM-142	OREI2024UMN-B3K-13	0.6870503	NC	-0.1870665	208307680061	R10C02
301	E02	BAROREI1261	OREI2024UMN-B3K-14	0.6991498	NC	0.09065381	208307680077	R04C02
242	B07	BAROREI1202	OREI2024UMN-B3K-13	0.7181164	NC	-0.164115	208307680061	R03C01
248	H07	BAROREI1208	OREI2024UMN-B3K-13	0.7181164	NC	0.03606351	208307680061	R04C01
133	E05	25BS-NAM-114	OREI2024UMN-B3K-12	0.7230216	BB	0.2322093	208182490074	R01C02
20	D03	BAROREI980	OREI2024UMN-B3K-11	0.7246566	NC	-0.07663381	208182490036	R04C02
21	E03	BAROREI981	OREI2024UMN-B3K-11	0.7400262	NC	0.02331234	208182490036	R06C02
330	B06	BAROREI1290	OREI2024UMN-B3K-14	0.7426422	BB	0.2711799	208307680086	R11C02
315	C04	BAROREI1275	OREI2024UMN-B3K-14	0.7625899	BB	0.4057738	208307680086	R08C01
19	C03	BAROREI979	OREI2024UMN-B3K-11	0.7717462	NC	-0.01279664	208182490036	R02C02
309	E03	BAROREI1269	OREI2024UMN-B3K-14	0.7733813	BB	0.1398015	208307680077	R06C02
36	D05	BAROREI996	OREI2024UMN-B3K-11	0.7743623	NC	0.07679053	208182490057	R12C01
69	E09	BAROREI1029	OREI2024UMN-B3K-11	0.7805755	BB	0.1708014	208182490065	R06C02
53	E07	BAROREI1013	OREI2024UMN-B3K-11	0.7809026	NC	0.09327791	208182490065	R09C01
271	G10	BAROREI1231	OREI2024UMN-B3K-13	0.7818836	NC	-0.2446255	208307680069	R02C01
146	B07	BAROREI1106	OREI2024UMN-B3K-12	0.7867888	BB	0.647392	208182490076	R03C01
170	B10	BAROREI1130	OREI2024UMN-B3K-12	0.7871158	NC	0.1058724	208182490077	R03C01
236	D06	BAROREI1196	OREI2024UMN-B3K-13	0.7894049	BB	0.1541546	208307680059	R04C02
250	B08	BAROREI1210	OREI2024UMN-B3K-13	0.7910399	NC	0.08988332	208307680061	R08C01
323	C05	BAROREI1283	OREI2024UMN-B3K-14	0.792348	BB	0.340237	208307680086	R10C01
60	D08	25BS-NAM-097	OREI2024UMN-B3K-11	0.794637	BB	0.2696105	208182490065	R12C01
160	H08	BAROREI1120	OREI2024UMN-B3K-12	0.7965991	BB	0.7001821	208182490076	R07C02
243	C07	BAROREI1203	OREI2024UMN-B3K-13	0.7969261	NC	0.01514541	208307680061	R05C01
239	G06	BAROREI1199	OREI2024UMN-B3K-13	0.7988881	BB	0.2068543	208307680059	R10C02
18	B03	BAROREI978	OREI2024UMN-B3K-11	0.8034663	BB	0.2596144	208182490036	R11C02
331	C06	25BS-NAM-126	OREI2024UMN-B3K-14	0.8060824	BB	0.4410893	208307680086	R12C01
268	D10	BAROREI1228	OREI2024UMN-B3K-13	0.8077174	BB	0.2894191	208307680069	R07C01
44	D06	25BS-NAM-092	OREI2024UMN-B3K-11	0.8113146	NC	-0.2783274	208182490057	R04C02
10	B02	BAROREI970	OREI2024UMN-B3K-11	0.8116416	BB	0.3349718	208182490036	R08C01
254	F08	BAROREI1214	OREI2024UMN-B3K-13	0.8116416	BB	0.2891772	208307680061	R03C02
2	B01	BAROREI962	OREI2024UMN-B3K-11	0.8119686	BB	0.1937761	208182490036	R03C01
152	H07	BAROREI1112	OREI2024UMN-B3K-12	0.8126226	BB	0.5718311	208182490076	R04C01
207	G02	BAROREI1167	OREI2024UMN-B3K-13	0.8142577	BB	0.2361645	208307680044	R05C02
11	C02	25BS-NAM-088	OREI2024UMN-B3K-11	0.8175278	BB	0.2606469	208182490036	R10C01
258	B09	BAROREI1218	OREI2024UMN-B3K-13	0.8191628	NC	-0.2587291	208307680061	R11C02
221	E04	BAROREI1181	OREI2024UMN-B3K-13	0.8214519	BB	0.3124276	208307680059	R09C01
269	E10	25BS-NAM-145	OREI2024UMN-B3K-13	0.8221059	NC	-0.2874144	208307680069	R09C01
92	D12	BAROREI1052	OREI2024UMN-B3K-11	0.82276	BB	0.1709947	208182490069	R04C02
247	G07	BAROREI1207	OREI2024UMN-B3K-13	0.82276	BB	0.1633578	208307680061	R02C01
84	D11	BAROREI1044	OREI2024UMN-B3K-11	0.823741	BB	0.3156871	208182490069	R12C01
185	A12	25BS-NAM-124	OREI2024UMN-B3K-12	0.824395	BB	0.1789552	208182490077	R09C02
193	A01	BAROREI1153	OREI2024UMN-B3K-13	0.8260301	NC	-0.03131527	208307680044	R01C01
261	E09	BAROREI1221	OREI2024UMN-B3K-13	0.8260301	BB	0.3292288	208307680061	R06C02
229	E05	BAROREI1189	OREI2024UMN-B3K-13	0.8263571	NC	-0.008539796	208307680059	R01C02
